Account Number,Meter Serial Number,Service Address,Billing Period Start,Billing Period End,Total Usage (kWh),Peak Demand (kW),Tariff Category,Invoice Number,Amount (INR)
MH-MSEDCL-00123,MTR-A001,Plot 12 Bhosari MIDC Pune Maharashtra 411026,2023-12-28,2024-01-29,48250,320.5,HT-II Industrial,INV-2024-001,386000
MH-MSEDCL-00123,MTR-A001,Plot 12 Bhosari MIDC Pune Maharashtra 411026,2024-01-30,2024-02-27,44800,305.0,HT-II Industrial,INV-2024-002,358400
MH-MSEDCL-00123,MTR-A001,Plot 12 Bhosari MIDC Pune Maharashtra 411026,2024-02-28,2024-03-30,51600,342.0,HT-II Industrial,INV-2024-003,412800
MH-MSEDCL-00124,MTR-A002,Survey No 45 Taloja MIDC Mumbai Maharashtra 410208,2023-12-26,2024-01-28,32100,218.0,HT-II Industrial,INV-2024-004,256800
MH-MSEDCL-00124,MTR-A002,Survey No 45 Taloja MIDC Mumbai Maharashtra 410208,2024-01-29,2024-02-26,29800,202.5,HT-II Industrial,INV-2024-005,238400
MH-MSEDCL-00124,MTR-A002,Survey No 45 Taloja MIDC Mumbai Maharashtra 410208,2024-02-27,2024-03-27,34500,231.0,HT-II Industrial,INV-2024-006,276000
KA-BESCOM-00567,MTR-B001,Sy No 88 Bommasandra Industrial Area Bengaluru Karnataka 560099,2023-12-29,2024-01-30,67800,445.0,HT Industrial,INV-2024-007,542400
KA-BESCOM-00567,MTR-B001,Sy No 88 Bommasandra Industrial Area Bengaluru Karnataka 560099,2024-01-31,2024-02-28,63200,418.0,HT Industrial,INV-2024-008,505600
KA-BESCOM-00567,MTR-B001,Sy No 88 Bommasandra Industrial Area Bengaluru Karnataka 560099,2024-02-29,2024-03-29,71400,472.0,HT Industrial,INV-2024-009,571200
TN-TANGEDCO-00891,MTR-C001,SIPCOT Industrial Park Irungattukottai Chennai Tamil Nadu 602105,2024-01-01,2024-01-31,28500,192.0,HT-1 Industrial,INV-2024-010,228000
TN-TANGEDCO-00891,MTR-C001,SIPCOT Industrial Park Irungattukottai Chennai Tamil Nadu 602105,2024-02-01,2024-02-29,26900,181.5,HT-1 Industrial,INV-2024-011,215200
TN-TANGEDCO-00891,MTR-C001,SIPCOT Industrial Park Irungattukottai Chennai Tamil Nadu 602105,2024-03-01,2024-03-31,30200,204.0,HT-1 Industrial,INV-2024-012,241600
DL-BYPL-00234,MTR-D001,Plot 15 Patparganj Industrial Estate Delhi 110092,2023-12-30,2024-01-31,18900,128.0,HT Supply,INV-2024-013,151200
DL-BYPL-00234,MTR-D001,Plot 15 Patparganj Industrial Estate Delhi 110092,2024-02-01,2024-02-29,17600,119.5,HT Supply,INV-2024-014,140800
DL-BYPL-00234,MTR-D001,Plot 15 Patparganj Industrial Estate Delhi 110092,2024-03-01,2024-03-31,20100,136.0,HT Supply,INV-2024-015,160800
MH-MSEDCL-00125,MTR-A003,Plot 78 Chakan Industrial Area Pune Maharashtra 410501,2024-01-05,2024-02-03,22400,152.0,LT-III Industrial,INV-2024-016,179200
MH-MSEDCL-00125,MTR-A003,Plot 78 Chakan Industrial Area Pune Maharashtra 410501,2024-02-04,2024-03-05,20800,141.0,LT-III Industrial,INV-2024-017,166400
MH-MSEDCL-00125,MTR-A003,Plot 78 Chakan Industrial Area Pune Maharashtra 410501,2024-03-06,2024-04-04,24100,163.5,LT-III Industrial,INV-2024-018,192800
KA-BESCOM-00568,MTR-B002,Plot 22 Peenya Industrial Area Bengaluru Karnataka 560058,2024-01-02,2024-01-31,-850,0,HT Industrial,INV-2024-019,-6800
KA-BESCOM-00569,MTR-B003,KIADB Industrial Area Doddaballapura Bengaluru Karnataka 561203,2024-01-01,2024-03-31,0,0,HT Industrial,INV-2024-020,0
